Rk,Ht,From,To,Tm,Lg,Player,G,GS,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,2P%,3P%,eFG%,FT%,TS%
1515,6-2,2012,2013,POR,NBA,Nolan Smith\smithno01,84,4,829,109,294,90,221,19,73,40,56,24,59,83,97,25,4,71,81,277,0.371,0.407,0.26,0.403,0.714,0.435
1516,6-0,2015,2016,TOT,NBA,Russ Smith\smithru01,27,0,131,15,47,12,31,3,16,20,26,2,13,15,19,8,1,19,18,53,0.319,0.387,0.188,0.351,0.769,0.453
1517,6-7,2000,2005,TOT,NBA,Steve Smith\smithst01,414,216,10153,1423,3202,1010,2155,413,1047,998,1145,318,705,1023,770,230,92,474,827,4257,0.444,0.469,0.394,0.509,0.872,0.574
1518,6-8,2007,2007,PHI,NBA,Steven Smith\smithst03,8,0,28,2,8,2,8,0,0,1,2,1,5,6,0,1,0,2,4,5,0.25,0.25,,0.25,0.5,0.282
1519,6-8,2004,2005,TOT,NBA,Theron Smith\smithth01,53,5,688,60,179,51,155,9,24,20,24,52,105,157,35,11,9,41,76,149,0.335,0.329,0.375,0.36,0.833,0.393
1520,6-3,2001,2001,ATL,NBA,Tony Smith\smithto02,6,0,78,8,23,8,21,0,2,1,2,2,1,3,10,7,0,9,12,17,0.348,0.381,0,0.348,0.5,0.356
1521,7-4,2000,2000,IND,NBA,Rik Smits\smitsri01,79,79,1852,431,890,431,889,0,1,156,211,94,307,401,85,20,100,108,249,1018,0.484,0.485,0,0.484,0.739,0.518
1522,6-7,2014,2018,TOT,NBA,Tony Snell\snellto01,368,206,8333,845,2012,407,859,438,1153,190,235,100,788,888,387,179,85,235,510,2318,0.42,0.474,0.38,0.529,0.809,0.548
1523,6-3,2000,2008,TOT,NBA,Eric Snow\snower01,624,502,19334,1800,4258,1758,4056,42,202,1213,1561,349,1436,1785,3535,750,96,1131,1603,4855,0.423,0.433,0.208,0.428,0.777,0.491
1524,6-6,2005,2008,TOT,NBA,Kirk Snyder\snydeki01,211,71,3540,489,1116,397,835,92,281,263,376,152,339,491,241,86,69,206,328,1333,0.438,0.475,0.327,0.479,0.699,0.52
1525,6-1,2002,2009,TOT,NBA,Will Solomon\solomwi01,115,13,1584,218,576,144,328,74,248,74,107,24,108,132,225,62,11,116,147,584,0.378,0.439,0.298,0.443,0.692,0.469
1526,6-9,2004,2011,TOT,NBA,Darius Songaila\songada01,495,79,9229,1449,2904,1446,2885,3,19,514,609,553,1136,1689,589,324,106,486,1197,3415,0.499,0.501,0.158,0.499,0.844,0.538
1527,6-8,2014,2014,TOT,NBA,James Southerland\southja01,4,0,30,5,15,2,9,3,6,1,2,0,8,8,0,1,2,1,3,14,0.333,0.222,0.5,0.433,0.5,0.441
1528,6-10,2005,2007,TOR,NBA,Pape Sow\sowpa01,76,29,879,79,190,79,190,0,0,61,90,78,136,214,12,34,24,41,166,219,0.416,0.416,,0.416,0.678,0.477
1529,6-4,2007,2007,HOU,NBA,Vassilis Spanoulis\spanova01,31,0,272,23,72,18,43,5,29,34,42,5,17,22,28,7,1,29,33,85,0.319,0.419,0.172,0.354,0.81,0.47
1530,6-10,2009,2018,TOT,NBA,Marreese Speights\speigma01,705,78,10640,2181,4750,1949,4099,232,651,998,1252,947,1928,2875,461,189,356,614,1565,5592,0.459,0.475,0.356,0.484,0.797,0.527
1531,7-0,2000,2002,TOT,NBA,Felton Spencer\spencfe01,76,8,510,33,79,33,79,0,0,52,88,47,77,124,8,15,18,32,129,118,0.418,0.418,,0.418,0.591,0.501
1532,6-11,2011,2017,TOT,NBA,Tiago Splitter\splitti01,355,153,6812,1073,1932,1071,1918,2,14,668,958,576,1203,1779,423,198,209,384,685,2816,0.555,0.558,0.143,0.556,0.697,0.598
1533,6-5,2000,2005,TOT,NBA,Latrell Sprewell\sprewla01,476,474,18028,3035,7297,2503,5762,532,1535,1472,1795,323,1520,1843,1711,552,128,1124,863,8074,0.416,0.434,0.347,0.452,0.82,0.499
1534,6-11,2000,2000,CLE,NBA,Ryan Stack\stackry01,25,0,198,17,51,17,50,0,1,18,27,15,30,45,5,4,11,17,47,52,0.333,0.34,0,0.333,0.667,0.413
1535,6-6,2000,2013,TOT,NBA,Jerry Stackhouse\stackje01,696,366,20622,3796,9320,3085,7073,711,2247,3187,3777,549,1542,2091,2350,577,217,1728,1158,11490,0.407,0.436,0.316,0.445,0.844,0.523
1536,6-3,2000,2002,TOT,NBA,John Starks\starkjo01,178,95,4241,590,1538,438,1090,152,448,172,211,54,269,323,429,148,14,213,445,1504,0.384,0.402,0.339,0.433,0.815,0.461
1537,6-6,2015,2018,TOT,NBA,Nik Stauskas\stausni01,267,63,5647,629,1629,303,696,326,933,289,361,59,502,561,432,118,73,288,375,1873,0.386,0.435,0.349,0.486,0.801,0.524
1538,7-0,2000,2004,TOT,NBA,Vladimir Stepania\stepavl01,247,13,3413,402,946,400,934,2,12,185,344,417,688,1105,82,100,121,181,424,991,0.425,0.428,0.167,0.426,0.538,0.452
1539,6-5,2014,2014,MIL,NBA,D.J. Stephens\stephdj01,3,0,15,3,7,3,7,0,0,1,1,1,4,5,0,0,0,0,0,7,0.429,0.429,,0.429,1,0.47
1540,6-7,2000,2000,VAN,NBA,Joe Stephens\stephjo01,13,0,181,19,51,19,43,0,8,3,4,13,23,36,11,7,3,6,9,41,0.373,0.442,0,0.373,0.75,0.389
1541,6-5,2011,2018,TOT,NBA,Lance Stephenson\stephla01,440,196,10743,1554,3485,1281,2583,273,902,482,704,300,1609,1909,1316,292,65,751,879,3863,0.446,0.496,0.303,0.485,0.685,0.509
1542,6-10,2016,2016,TOT,NBA,Alex Stepheson\stephal01,8,0,73,9,27,9,27,0,0,4,12,19,9,28,2,1,5,0,12,22,0.333,0.333,,0.333,0.333,0.341
1543,6-5,2001,2013,TOT,NBA,DeShawn Stevenson\stevede01,824,542,18396,2238,5515,1688,3898,550,1617,904,1296,410,1422,1832,1355,423,134,814,1140,5930,0.406,0.433,0.34,0.456,0.698,0.487
1544,6-10,2000,2005,TOT,NBA,Michael Stewart\stewami01,163,4,1148,69,180,69,180,0,0,49,84,109,163,272,22,23,55,45,230,187,0.383,0.383,,0.383,0.583,0.431
1545,6-11,2012,2015,TOT,NBA,Greg Stiemsma\stiemgr01,203,42,3048,269,529,269,528,0,1,103,146,190,489,679,97,118,232,143,512,641,0.509,0.509,0,0.509,0.705,0.54
1546,6-5,2000,2002,TOT,NBA,Bryant Stith\stithbr01,173,85,3860,401,988,269,622,132,366,283,336,108,345,453,271,140,32,153,280,1217,0.406,0.432,0.361,0.473,0.842,0.536
1547,5-11,2015,2018,TOT,NBA,David Stockton\stockda01,6,0,42,4,9,1,4,3,5,7,10,0,2,2,9,2,0,5,4,18,0.444,0.25,0.6,0.611,0.7,0.672
1548,6-1,2000,2003,UTA,NBA,John Stockton\stockjo01,328,328,9670,1401,2791,1243,2380,158,411,960,1143,209,697,906,2719,564,76,772,779,3920,0.502,0.522,0.384,0.53,0.84,0.595
1549,6-9,2000,2011,TOT,NBA,Peja Stojakovic\stojape01,756,664,25941,4684,10346,2981,6132,1703,4214,2174,2426,704,2935,3639,1336,706,99,1037,1355,13245,0.453,0.486,0.404,0.535,0.896,0.58
1550,6-9,2015,2017,TOT,NBA,Jarnell Stokes\stokeja01,28,2,151,25,43,25,43,0,0,17,32,18,22,40,7,7,5,7,29,67,0.581,0.581,,0.581,0.531,0.587
1551,6-11,2017,2017,LAC,NBA,Diamond Stone\stonedi01,7,0,24,3,13,3,13,0,0,4,4,1,5,6,0,0,1,2,5,10,0.231,0.231,,0.231,1,0.339
1552,6-6,2012,2018,TOT,NBA,Julyan Stone\stoneju01,70,2,502,28,63,18,31,10,32,14,20,10,67,77,77,16,8,25,56,80,0.444,0.581,0.313,0.524,0.7,0.557
1553,6-6,2005,2008,TOT,NBA,Awvee Storey\storeaw01,60,1,407,58,140,54,124,4,16,23,45,43,38,81,21,10,2,15,66,143,0.414,0.435,0.25,0.429,0.511,0.447
1554,5-10,2000,2008,TOT,NBA,Damon Stoudamire\stoudda01,606,521,18418,2587,6406,1795,4221,792,2185,976,1138,430,1533,1963,3117,570,38,1151,1146,6942,0.404,0.425,0.362,0.466,0.858,0.503
1555,6-1,2006,2008,ATL,NBA,Salim Stoudamire\stoudsa01,157,1,2672,446,1097,279,641,167,456,201,228,22,192,214,164,55,10,158,240,1260,0.407,0.435,0.366,0.483,0.882,0.526
1556,6-10,2003,2016,TOT,NBA,Amar'e Stoudemire\stoudam01,846,696,26254,5911,11009,5881,10882,30,127,4142,5444,2029,4603,6632,1050,636,1054,1953,2685,15994,0.537,0.54,0.236,0.538,0.761,0.597
1557,6-5,2008,2008,PHO,NBA,D.J. Strawberry\strawdj01,33,0,270,29,92,23,67,6,25,9,19,9,19,28,30,12,6,11,36,73,0.315,0.343,0.24,0.348,0.474,0.364
1558,6-3,2000,2005,TOT,NBA,Erick Strickland\stricer01,373,86,7358,943,2365,633,1528,310,837,527,631,156,827,983,904,299,26,460,700,2723,0.399,0.414,0.37,0.464,0.835,0.515
1559,6-9,2000,2003,TOT,NBA,Mark Strickland\stricma01,163,17,2049,318,672,316,666,2,6,110,170,144,295,439,66,50,57,87,189,748,0.473,0.474,0.333,0.475,0.647,0.501
1560,6-3,2000,2005,TOT,NBA,Rod Strickland\stricro02,323,179,8202,1104,2579,1079,2466,25,113,658,894,215,693,908,1783,313,53,630,483,2891,0.428,0.438,0.221,0.433,0.736,0.486
1561,6-8,2000,2001,TOT,NBA,Derek Strong\stronde01,48,8,639,66,165,65,160,1,5,39,51,45,107,152,11,19,3,34,45,172,0.4,0.406,0.2,0.403,0.765,0.459
1562,6-5,2008,2017,TOT,NBA,Rodney Stuckey\stuckro01,651,302,17890,2904,6870,2628,5949,276,921,2101,2551,419,1493,1912,2333,568,94,1181,1346,8185,0.423,0.442,0.3,0.443,0.824,0.512
1563,6-9,2013,2017,TOT,NBA,Jared Sullinger\sullija01,269,172,6532,1172,2685,1031,2167,141,518,408,564,684,1322,2006,477,180,161,332,784,2893,0.436,0.476,0.272,0.463,0.723,0.493
1564,6-8,2010,2013,TOT,NBA,DaJuan Summers\summeda01,83,7,820,103,268,74,189,29,79,43,67,24,58,82,29,18,8,37,104,278,0.384,0.392,0.367,0.438,0.642,0.467
1565,6-6,2018,2018,IND,NBA,Edmond Sumner\sumneed01,1,0,2,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,2,1,1,,1,,1
1566,7-2,2000,2005,TOT,NBA,Bruno Sundov\sundobr01,99,4,513,77,215,72,191,5,24,10,19,32,75,107,17,15,14,29,102,169,0.358,0.377,0.208,0.37,0.526,0.378
1567,6-5,2000,2005,TOT,NBA,Bob Sura\surabo01,400,169,10395,1360,3240,1045,2284,315,956,961,1330,430,1171,1601,1528,405,67,775,922,3996,0.42,0.458,0.329,0.468,0.723,0.522
1568,6-8,2018,2018,POR,NBA,Caleb Swanigan\swanica01,27,3,189,24,60,23,52,1,8,12,18,15,39,54,14,5,3,18,37,61,0.4,0.442,0.125,0.408,0.667,0.449
1569,6-8,2004,2007,TOT,NBA,Mike Sweetney\sweetmi01,233,73,3610,564,1164,564,1162,0,2,388,563,400,645,1045,145,73,107,277,569,1516,0.485,0.485,0,0.485,0.689,0.537
1570,7-0,2005,2009,TOT,NBA,Robert Swift\swiftro01,97,34,1500,172,340,172,340,0,0,72,118,122,254,376,20,26,86,71,224,416,0.506,0.506,,0.506,0.61,0.531
1571,6-9,2001,2009,TOT,NBA,Stromile Swift\swiftst01,547,97,10804,1713,3623,1711,3596,2,27,1154,1650,885,1650,2535,275,354,683,690,1357,4582,0.473,0.476,0.074,0.473,0.699,0.527
